Response_ID,TS,Time_Taken,Q3,Q3_O,Q4,Q5,Q6,Q7,Q8A1,Q8A2,Q8A3,Q8A4,Q8A5,Q8A6,Q8A7,Q8A8,Q8A9,Q8_O,Q9R1,Q9R2,Q9R3,Q9R4,Q9R5,Q10R1,Q10R2,Q10R3,Q10R4,Q10R5,Q11,Q12,Q13,Q14,Q15,Q16,Q17
1608666833,12/16/2020 10:19:56,23,Service provider, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608667336,12/16/2020 14:54:33,929,Service provider, ,,1 to 3 years,"Support and resource connection for vulnerable citizens in the neighbourhood, weaving neighbourhood connections","Connecting, listening for needs, helping spark community initiatives, inspiring citizen action and sense of place",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Virtual block connector program,More than 2 years,Yes,"CSW has invested a lot of energy and time in understanding the community- through her annual needs assessments, creating strong partnerships and building great rapport with residents and stakeholders alike- I have seen all of these efforts continue to build and create positive change in the neighbourhood",Very Satisfied,CSW truly has inspired me and I feel strengthened my own abilities to do CD work. Im better for having worked with her.
1608687474,12/29/2020 09:04:23,597,Church, ,,More than 3 years,Informative. Important to have City resorces within neighborhood., ,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , , , , , , , ,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Do Not Agree or Disagree,Agree,Strongly Agree,No, ,More than 2 years,Yes, , , 
1608687391,12/28/2020 16:04:53,61,Church,,ABB,Less than 6 months, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608649468,12/14/2020 14:59:02,2337,Community Association,,ABB,Less than 6 months,I am not really clear still on what their role is or its purpose.,havent seen any true value at this time, , , , , , , , , , ,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Not Applicable,No, ,Unsure/Not Applicable,No,too soon to tell,Dissatisfied, 
1608648459,12/11/2020 12:25:54,343,City of Calgary Business Unit,,ABB,Less than 6 months,"Very active and very engaging. She is really trying to bring people together, and let people know about the resources and supports available to them.",Good engager of the community. Provides much needed social cohesion which has been lacking from the CA.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Tried to partner on a community food market and community engagement board. However, as the CA was unwilling to cooperate/contribute, my involvement was minimal. CSW has been amazing for the community, though, and I find her initiatives are very organized, well received and needed.",Unsure/Not Applicable,Yes,She is helping to build capacity in those who will one day be community champions.,Very Satisfied,CSW really seems to love what she does and it shows. She is much appreciated.
1608687394,12/28/2020 16:26:46,872,City of Calgary Business Unit,,MULTIPLE,Less than 6 months,Working to become familiar with the neighbourhood and Calgary Housing tenants to help support needs and develop opportunities,"For residents and tenants to have a social worker to advocate on their behalf and provide enhancement to their lives. For the tenant Liaison Social Worker, to have another City unit and social worker to collaborate with on mutual needs.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Agree,Agree,Agree,Do Not Agree or Disagree,Do Not Agree or Disagree,Agree,Do Not Agree or Disagree,Do Not Agree or Disagree,Agree,Agree,No, ,More than 2 years,Yes,"There may be a long-term impact if the workers remain in their role and not keep changing workers. Also, over the years the experience has been that CSW roles change focus more often than is possible to really develop change.",Satisfied,I feel that I am working well with both the CSW I collaborate with currently and I appreciate their efforts to enhance our tenants experiences and opportunities. I really look forward to trying to grow our relationship and mutual efforts. Thank you to both CSWs!
1608649567,12/14/2020 16:20:34,270,Service provider,,ACA,More than 3 years,The CSW is integral to the development of grassroots community driven groups that address the needs of a community.,"increases potential for sustainable community initiatives. able to connect with and collaborate with community members, service providers and key stakeholders.",Collaborate with other partners and/or residents to identify, , ,Provide expertise to local initiatives, ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,Unsure/Not Applicable,Yes,CSW has capacity for long term commitment to a community,Very Satisfied, 
1608688071,01/02/2021 13:02:56,1201,Service provider,,ACA,1 to 3 years,She is a very engaged and community minded person who has led initiatives and is involved in the community.,She is a leader and collaborator - she has initiated and is involved in many programs.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,ACA food pantry was increased to twice a month with all Covid-19 protocols observed.,More than 2 years,Yes,They have already made long term impacts in the community.,Very Satisfied, 
1608652627,12/15/2020 11:02:11,719,Church,,ACA,More than 3 years,VR is a valued member of our ACA Network and a corresponding member of our Outreach & Social Justice Ministry of McDougall United.  She informs our group of upcoming ACA issues and programs.,"The main value is communications - keeping us connected and informed  - together we work on projects such as the ACA Pantry, ACA School Lunch program, the Garden and Art Club of ACA and ACA Place.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Two key ACA Community programs operate from McDougall Church - ACA Pantry and now the school lunch program.,More than 2 years,Yes,VR provides a strong support role keeping us in the loop and connected with what is happening in the community.  She provides an important hub connection.,Very Satisfied,We really appreciate VR willingness to work with our team and provide energy and wisdom as we seek to make a difference in the ACA Community.
